point,time_s,signal_raw,signal_scaled
222,43.495401305,1685605,803.759098053
223,43.691159869,1656537,789.898395538
224,43.886918434,1627736,776.165008545
225,44.082676998,1599212,762.563705444
226,44.278435563,1570959,749.091625214
227,44.474194127,1542973,735.746860504
228,44.669952692,1515290,722.546577454
229,44.865711256,1487933,709.501743317
230,45.061469821,1460899,696.610927582
231,45.257228385,1434168,683.864593506
232,45.452986949,1407754,671.269416809
233,45.648745514,1381669,658.831119537
234,45.844504078,1355918,646.552085876
235,46.040262643,1330510,634.436607361
236,46.236021207,1305454,622.488975525
237,46.431779772,1280751,610.709667206
238,46.627538336,1256390,599.093437195
239,46.823296900,1232363,587.636470795
240,47.019055465,1208676,576.341629028
241,47.214814029,1185328,565.208435059
242,47.410572594,1162321,554.23784256
243,47.606331158,1139665,543.434619904
244,47.802089723,1117375,532.805919647
245,47.997848287,1095463,522.357463837
246,48.193606852,1073927,512.088298798
247,48.389365416,1052763,501.996517181
248,48.585123980,1031966,492.079734802
249,48.780882545,1011531,482.335567474
250,48.976641109,991449,472.759723663
251,49.172399674,971717,463.350772858
252,49.368158238,952328,454.105377197
253,49.563916803,933277,445.021152496
254,49.759675367,914559,436.095714569
255,49.955433931,896166,427.325248718
256,50.151192496,878102,418.711662292
257,50.346951060,860367,410.254955292
258,50.542709625,864513,412.23192215
259,50.738468189,847105,403.9311409
260,50.934226754,830024,395.7862854
261,51.129985318,813273,387.798786163
262,51.325743883,796856,379.970550537
263,51.521502447,780770,372.30014801
264,51.717261011,764999,364.779949188
265,51.913019576,749533,357.405185699
266,52.108778140,734373,350.176334381
267,52.304536705,719518,343.092918396
268,52.500295269,704966,336.15398407
269,52.696053834,690706,329.354286194
270,52.891812398,676729,322.689533234
271,53.087570962,663036,316.160202026
272,53.283329527,649618,309.762001038
273,53.479088091,636467,303.49111557
274,53.674846656,623575,297.343730927
275,53.870605220,610946,291.321754456
276,54.066363785,598586,285.42804718
277,54.262122349,586492,279.661178589
278,54.457880914,574654,274.01638031
279,54.653639478,563066,268.490791321
280,54.849398042,551723,263.082027435
281,55.045156607,540616,257.785797119
282,55.240915171,529739,252.599239349
283,55.436673736,519093,247.522830963
284,55.632432300,508681,242.558002472
285,55.828190865,498501,237.703800201
286,56.023949429,488547,232.957363129
287,56.219707993,478819,228.318691254
288,56.415466558,469307,223.783016205
289,56.611225122,460002,219.346046448
290,56.806983687,450903,215.007305145
291,57.002742251,442005,210.764408112
292,57.198500816,433307,206.61687851
293,57.394259380,424805,202.56280899
294,57.590017945,416497,198.60124588
295,57.785776509,408389,194.735050201
296,57.981535073,400483,190.965175629
297,58.177293638,392776,187.29019165
298,58.373052202,385259,183.705806732
299,58.568810767,377921,180.206775665
300,58.764569331,370751,176.787853241
301,58.960327896,363735,173.442363739
302,59.156086460,356858,170.163154602
303,59.351845024,350114,166.947364807
304,59.547603589,343501,163.79404068
305,59.743362153,337021,160.704135895
306,59.939120718,330680,157.680511475
307,60.134879282,324481,154.724597931
308,60.330637847,318419,151.834011078
